"action","folder_path","archived_in","status"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\wrap-catalog","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\huggingface","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\repositories","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\confirmations","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\cloudinary","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\visualizer","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\filesystem","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\powershell","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\tui-shell","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\termcn-ui","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\git-diffs","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\vehicles","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\product","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\settlement","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\billing","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\tenancy","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\commands","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\messaging","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\readiness","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\routes","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\identity","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\tests","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\media","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\authz","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\monaco","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\payouts","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\tests","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\product","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\CtrlPlus\20 CONTRACTS\data","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\routes","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\domain","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\data","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\authz","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\tests","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\legal","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\Vouch\20 CONTRACTS\data","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
"archive-empty-folder","10 PROJECTS\RateLtd\20 CONTRACTS\ui","_OPS\manifests\devnotes-part2-empty-folders-2026-05-27.csv","removed-empty-folder-after-manifest"
