"Path","LegacyRoot","Title","Namespace","Role","System","Workspace","Type","Project","Domain","Status","Authority","SuggestedRole","SuggestedSystem","SuggestedWorkspace","SuggestedTarget","MigrationDisposition","Confidence","NeedsHumanReview","PathSensitiveReferenceCount","PathSensitiveKinds"
"_assets\README.md","_assets","","","","","","","","","","","","","","_assets","already-unified","high","False","0",""
"_obsidian\Controls\devnotes.unified.meta-bind-controls.md","_obsidian","DevNotes Unified Meta Bind Controls","devnotes.devnotes.meta-bind.controls.reference","devnotes","devnotes","","reference","","","active","operational","devnotes","devnotes","","_obsidian","already-unified","high","False","0",""
"_obsidian\README.md","_obsidian","","","","","","","","","","","","","","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\adr-decision.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'decision') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","decision","","","proposed","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\architecture.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'architecture') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","architecture","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\auth-security.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'auth-security') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","auth-security","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\business-operation.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'business-operation') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","business-operation","","","in-progress","operational","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\capture.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'capture') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","capture","","","draft","operational","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\data-model.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'data-model') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","data-model","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
"_obsidian\Templates\design.template.md","_obsidian","<% tp.file.title %>","<% tp.user.makeNamespace(tp.user.inferSystem(tp.file.folder(true)), tp.user.inferRole(tp.file.folder(true)), tp.file.title, 'design') %>","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","design","","","draft","project-specific","<% tp.user.inferRole(tp.file.folder(true)) %>","<% tp.user.inferSystem(tp.file.folder(true)) %>","<% tp.user.inferWorkspace(tp.file.folder(true)) %>","_obsidian","already-unified","high","False","0",""
