"Source","Destination","Role","RoleSlug","System","Workspace"
"00 ZETTELKASTEN/zettelkasten.map.md","DevNotes/Inbox/zettelkasten.map.md","DevNotes","devnotes","devnotes",""
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Chief-of-Staff.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Chief-of-Staff.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Chief-of-Staff.Supplemental Custom Instructions — Resource-Enrichment Layer.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Chief-of-Staff.Supplemental Custom Instructions — Resource-Enrichment Layer.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Chief-of-Staff.User Eval — ChatGPT Interface Coherence, Efficacy, and Resource Utilization.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Chief-of-Staff.User Eval — ChatGPT Interface Coherence, Efficacy, and Resource Utilization.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Devnotes.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Devnotes.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.DevNotes.Recommended ChatGPT Personalization Configuration.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.DevNotes.Recommended ChatGPT Personalization Configuration.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.DevNotes.User Eval — ChatGPT Interface Coherence & Efficacy.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.DevNotes.User Eval — ChatGPT Interface Coherence & Efficacy.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Execution.ChatGPT Interaction & Resource-Utilization Personalization Addendum.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Execution.ChatGPT Interaction & Resource-Utilization Personalization Addendum.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Execution.ChatGPT User Interface & Interaction Efficacy Evaluation.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Execution.ChatGPT User Interface & Interaction Efficacy Evaluation.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Execution.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Execution.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
"10 PROJECTS/10.PROJECTS.CHATGPT/10.PROJECTS.CHATGPT.Fuck-You-Pay-Me.Configuration.Source-Document.md","DevNotes/Archive/ChatGPT Project History/10.PROJECTS.CHATGPT.Fuck-You-Pay-Me.Configuration.Source-Document.md","DevNotes","devnotes","devnotes","chatgpt-role-system"
