"mirror_path","source_path","live_path","generated","source_sha256","live_sha256","live_exists","exact_match","primary_classification","deletion_candidate","reason"
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.editorconfig.md","The Loaded Vibes™ Codex Plugin\.awesome\.editorconfig","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.editorconfig","True","47970b5ac7882b906580290f03246b30f97c295167848614cc7bfcacb7313535","47970b5ac7882b906580290f03246b30f97c295167848614cc7bfcacb7313535","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\agents\agentic-workflows.md.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\agents\agentic-workflows.md","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\agents\agentic-workflows.md","True","346db0d0b24ff3916ba0ca7eb3c86f673ae80062781bbeb41f37c6c2e74d56da","346db0d0b24ff3916ba0ca7eb3c86f673ae80062781bbeb41f37c6c2e74d56da","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\aw\actions-lock.json.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\aw\actions-lock.json","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\aw\actions-lock.json","True","1291871118f83897c42ec4fc561d43f2d3954195fba85b49ca6259665a1a5713","1291871118f83897c42ec4fc561d43f2d3954195fba85b49ca6259665a1a5713","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\copilot-instructions.md.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\copilot-instructions.md","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\copilot-instructions.md","True","03dd04a408bf767b1761fb0bfcdb26b909aa96eefdfcd16764cb4355aed9ef35","03dd04a408bf767b1761fb0bfcdb26b909aa96eefdfcd16764cb4355aed9ef35","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\ISSUE_TEMPLATE\external-plugin.yml.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\ISSUE_TEMPLATE\external-plugin.yml","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\ISSUE_TEMPLATE\external-plugin.yml","True","ccff290dcfe5e850629df57e17296d45e731029072391aa5bc48eb1d06718350","ccff290dcfe5e850629df57e17296d45e731029072391aa5bc48eb1d06718350","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\plugin\marketplace.json.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\plugin\marketplace.json","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\plugin\marketplace.json","True","780b0f1360064783fb7bdf9e3315dbfdf48a0348a2aaba64852e0cc543493c7c","780b0f1360064783fb7bdf9e3315dbfdf48a0348a2aaba64852e0cc543493c7c","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\pull_request_template.md.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\pull_request_template.md","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\pull_request_template.md","True","a3f01225c3c5569e2803132243b9388464d6c02323345ac318b854d0c1ee0c6c","a3f01225c3c5569e2803132243b9388464d6c02323345ac318b854d0c1ee0c6c","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\skills\agentic-workflows\SKILL.md.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\skills\agentic-workflows\SKILL.md","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\skills\agentic-workflows\SKILL.md","True","81e2e1e7c4825c139e9431f96b0ffcfcff29a343a4afc61000f927ee95ecfbd7","81e2e1e7c4825c139e9431f96b0ffcfcff29a343a4afc61000f927ee95ecfbd7","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\skills\create-canvas-extension\SKILL.md.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\skills\create-canvas-extension\SKILL.md","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\skills\create-canvas-extension\SKILL.md","True","0f223ea5d54b5c636379e0ac8461b397731b3e334deb4e7197024a166eb9834c","0f223ea5d54b5c636379e0ac8461b397731b3e334deb4e7197024a166eb9834c","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\agentics-maintenance.yml.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\agentics-maintenance.yml","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\agentics-maintenance.yml","True","d804c32afd9f964fb6d53dd24c9b9d00902db21daf06f14bfe48a7316b667964","d804c32afd9f964fb6d53dd24c9b9d00902db21daf06f14bfe48a7316b667964","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\build-website.yml.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\build-website.yml","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\build-website.yml","True","643f96d1c4f8c393117280caf46156a621058bf357dfe00d3a92c973a54fdc41","643f96d1c4f8c393117280caf46156a621058bf357dfe00d3a92c973a54fdc41","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\check-line-endings.yml.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\check-line-endings.yml","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\check-line-endings.yml","True","7ab6d89613aac0baf9f8acc51bcc0900a779e70c7c01ad64e3d9c6a05699f51e","7ab6d89613aac0baf9f8acc51bcc0900a779e70c7c01ad64e3d9c6a05699f51e","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
"10 PROJECTS\10.PROJECTS.CODEPENDENTCODING\10.PROJECTS.CODEPENDENTCODING.Source Mirror\_The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\check-plugin-structure.yml.md","The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\check-plugin-structure.yml","D:\_The Codependent Coding™ WebApp Architecture_\The Loaded Vibes™ Codex Plugin\.awesome\.github\workflows\check-plugin-structure.yml","True","8cccf2fd1f1bcaff9dd98ef8ff6e8152d725d635fce45be9c0e0ec78dd25ef99","8cccf2fd1f1bcaff9dd98ef8ff6e8152d725d635fce45be9c0e0ec78dd25ef99","True","True","live-code duplicate","True","Generated mirror wrapper records the same SHA-256 as the current trusted source file."
