book	source	chapter	axis	term	bytes	sha256	output
Knowledge	60.CODEPENDENTCODING.Docs.Reference-Implementations.Reference.md	Chapter-01.Engineering-Practice-Descriptive-Model.md	3. Representation (Logical)	Taxonomy	2950	0e15450f03ba8ca45c89ae2b4ea0e3fc9c47b02c2a4ebb64ceb5fe891ad76a6c	01-The-Book-of-Knowledge/01-Identification-Abstract/Epistemology/Chapter-01.Engineering-Practice-Descriptive-Model.md
Implementation	40.ARCHIVE.TECHSTACK.Engineering-Practice.Descriptive-Model.Reference.md	Chapter-01.Engineering-Practice-Descriptive-Model.md	1. Identification (Abstract)	Epistemology	27128	4bae4d48972182d6a37d3c349ac07986de521cf54c846c9869e8049317d2a257	02-The-Book-of-Implementation/01-Identification-Abstract/Epistemology/Chapter-01.Engineering-Practice-Descriptive-Model.md
Knowledge	60.CODEPENDENTCODING.Docs.Epistemology.Reference.md	Chapter-02.Engineering-Practice-Stupid-Lesson.md	1. Identification (Abstract)	Epistemology	3821	bc2943a42d89bb8d5d41251d94dfa4be10e3b3ee66c88d8cbd3d89f31703e0ac	01-The-Book-of-Knowledge/01-Identification-Abstract/Epistemology/Chapter-02.Engineering-Practice-Stupid-Lesson.md
Implementation	40.ARCHIVE.TECHSTACK.Engineering-Practice.Stupid-Lesson.Reference.md	Chapter-02.Engineering-Practice-Stupid-Lesson.md	1. Identification (Abstract)	Epistemology	17745	c0081989f693404840cbdf14101061a6aeea57d56bffcac2444cdd139ea074d0	02-The-Book-of-Implementation/01-Identification-Abstract/Epistemology/Chapter-02.Engineering-Practice-Stupid-Lesson.md
Knowledge	60.CODEPENDENTCODING.Agents.Contracts.Architecture.Contract.md	Chapter-03.Architecture-Contract.md	1. Identification (Abstract)	Topology	3721	1c165a382bc4835395fb17bb6fa1ea8b321a7d422a2b4aae6ec701d2fe0a176b	01-The-Book-of-Knowledge/01-Identification-Abstract/Topology/Chapter-03.Architecture-Contract.md
Implementation	40.ARCHIVE.TECHSTACK.Contracts.Architecture.Contract.md	Chapter-03.Architecture-Contract.md	1. Identification (Abstract)	Topology	2755	da09d44179f90145744fd8ea723e9feb13753d4d75b480af20fff196e18ef2fb	02-The-Book-of-Implementation/01-Identification-Abstract/Topology/Chapter-03.Architecture-Contract.md
Knowledge	60.CODEPENDENTCODING.Docs.Hipster-Stack-Tech.Map.md	Chapter-04.Engineering-System-Definition.md	1. Identification (Abstract)	Topology	5137	0f75f9d88d40f71b54bbbf6761ace7ad97d5e142666723ac72f6aae8fe27b835	01-The-Book-of-Knowledge/01-Identification-Abstract/Topology/Chapter-04.Engineering-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Docs.Loaded-Vibes-Architecture.Source-Document.md	Chapter-04.Engineering-System-Definition.md	1. Identification (Abstract)	Topology	7778	934773a24902abb919563b06705797dd5276256388103915f6fefb88cdf6c8bc	01-The-Book-of-Knowledge/01-Identification-Abstract/Topology/Chapter-04.Engineering-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Docs.System-Map.Map.md	Chapter-04.Engineering-System-Definition.md	1. Identification (Abstract)	Topology	3270	779c1772469906b61d228d335c12e61679125faf22881f69ad0edd42cb2d8bb0	01-The-Book-of-Knowledge/01-Identification-Abstract/Topology/Chapter-04.Engineering-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Docs.Engineering-Doctrine.Source-Document.md	Chapter-04.Engineering-System-Definition.md	2. Definition (Conceptual)	Semantics	5617	9009365801218e052a9465df456882de020b6c65a6b813a5f7492d8b40ab244d	01-The-Book-of-Knowledge/01-Identification-Abstract/Topology/Chapter-04.Engineering-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Patterns.Infrastructure-Integration-Patterns.Reference.md	Chapter-04.Engineering-System-Definition.md	4. Specification (Physical)	Typology	14031	f4bc7d182a432dc204f1e6f292bab819c5c387b2488698f02af44c56b828401b	01-The-Book-of-Knowledge/01-Identification-Abstract/Topology/Chapter-04.Engineering-System-Definition.md
Implementation	40.ARCHIVE.TECHSTACK.Engineering-System.Definition.Source-Document.md	Chapter-04.Engineering-System-Definition.md	1. Identification (Abstract)	Topology	20053	86e0eac2bc4f3e2b7310b00328e218de1f1cfa21275646db7d7b0d7fb55c5a0c	02-The-Book-of-Implementation/01-Identification-Abstract/Topology/Chapter-04.Engineering-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Agents.Contracts.Ontology.Contract.md	Chapter-05.Ontology-Contract.md	2. Definition (Conceptual)	Ontology	28949	c09fe85a09817cfcd66b86cf9e7483985aa52860dbd68b77d1c547c3e02eb4af	01-The-Book-of-Knowledge/02-Definition-Conceptual/Ontology/Chapter-05.Ontology-Contract.md
Knowledge	60.CODEPENDENTCODING.Provenance.Ontology-Traceability.Reference.md	Chapter-05.Ontology-Contract.md	5. Configuration (Runtime)	Knowledge Graph	9036	5a8e9e971da1a402af7eb3e88bd9205e905b4d7277dd8c9fc5f925f3ea8d0057	01-The-Book-of-Knowledge/02-Definition-Conceptual/Ontology/Chapter-05.Ontology-Contract.md
Implementation	40.ARCHIVE.TECHSTACK.Contracts.Ontology.Contract.md	Chapter-05.Ontology-Contract.md	2. Definition (Conceptual)	Ontology	27991	277d4d3424438526eff0731fa9d5693431bd3b08ff36515a11c35d05bb90732e	02-The-Book-of-Implementation/02-Definition-Conceptual/Ontology/Chapter-05.Ontology-Contract.md
Knowledge	60.CODEPENDENTCODING.Docs.Knowledge-Modeling.Reference.md	Chapter-06.Knowledge-Modeling-Ontology-Taxonomy.md	2. Definition (Conceptual)	Ontology	19418	7d0cf2fa2a8e6be95b8b32d3f091f7cbed2ca0fc0c0fb4c52477e1f320009413	01-The-Book-of-Knowledge/02-Definition-Conceptual/Ontology/Chapter-06.Knowledge-Modeling-Ontology-Taxonomy.md
Implementation	40.ARCHIVE.TECHSTACK.Knowledge-Modeling.Ontology-Taxonomy.Reference.md	Chapter-06.Knowledge-Modeling-Ontology-Taxonomy.md	2. Definition (Conceptual)	Ontology	17535	32fa8d2ea98fab05352e5b81358d8fac2a76a35bb506d33b36d50b015913f7db	02-The-Book-of-Implementation/02-Definition-Conceptual/Ontology/Chapter-06.Knowledge-Modeling-Ontology-Taxonomy.md
Knowledge	60.CODEPENDENTCODING.Provenance.Conflict-Resolution.Reference.md	Chapter-07.Knowledge-System-Definition.md	1. Identification (Abstract)	Epistemology	4344	6fdf76ec4973581edf6259175d8aa778753c96f1b432f62f79ab44b8f8a6d4b2	01-The-Book-of-Knowledge/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Docs.Knowledge-System-Definition.Source-Document.md	Chapter-07.Knowledge-System-Definition.md	2. Definition (Conceptual)	Mereology	3543	dd77b4289163a4b7b8dacb7b5fca3e253415447a46cc8d9a37af26b072c1c3d0	01-The-Book-of-Knowledge/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Provenance.Coverage-Matrix.Reference.md	Chapter-07.Knowledge-System-Definition.md	5. Configuration (Runtime)	Knowledge Graph	4433	1487a1a284d7a726e96522264398396a06a5dcda07053fe0b5b92ccd4172c314	01-The-Book-of-Knowledge/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Provenance.Synthesis-Decisions.Reference.md	Chapter-07.Knowledge-System-Definition.md	5. Configuration (Runtime)	Metadata	4558	1ec53de269d0d67cdf6f9f031d2c645f1491771e1e03de4fdd813405f083cfcc	01-The-Book-of-Knowledge/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
Knowledge	60.CODEPENDENTCODING.Agents.Execution.md	Chapter-07.Knowledge-System-Definition.md	6. Instantiation (User Layer)	Information Architecture	3846	2620b702edadc2d37be5e3de740d5be6d153716870692de464144ec67f746a43	01-The-Book-of-Knowledge/02-Definition-Conceptual/Mereology/Chapter-07.Knowledge-System-Definition.md
